t, y, yd
3.200000000000000178e+00,-1.608009116931760629e-01,2.708598448563575012e-01
3.209999999999999964e+00,-1.580898746830213530e-01,2.713377237981016155e-01
3.220000000000000195e+00,-1.553743530573393483e-01,2.717568516552160141e-01
3.229999999999999982e+00,-1.526549318270011280e-01,2.721177296047576077e-01
3.240000000000000213e+00,-1.499321909573712863e-01,2.724208654155811926e-01
3.250000000000000000e+00,-1.472067053030100547e-01,2.726667732773144781e-01
3.260000000000000231e+00,-1.444790445440494731e-01,2.728559736291266136e-01
3.270000000000000018e+00,-1.417497731242470804e-01,2.729889929882896027e-01
3.280000000000000249e+00,-1.390194501907137670e-01,2.730663637785332165e-01
3.290000000000000036e+00,-1.362886295395272507e-01,2.730886243436232430e-01
3.300000000000000266e+00,-1.335578595601245588e-01,2.730563188331563418e-01
3.310000000000000053e+00,-1.308276831709506705e-01,2.729699966289255708e-01
3.320000000000000284e+00,-1.280986377707269142e-01,2.728302123855989580e-01
3.330000000000000071e+00,-1.253712551867838809e-01,2.726375258679143432e-01
3.339999999999999858e+00,-1.226460616250049235e-01,2.723925017848652930e-01
3.350000000000000089e+00,-1.199235776214541693e-01,2.720957096240139705e-01
3.359999999999999876e+00,-1.172043179956880760e-01,2.717477234859305146e-01
3.370000000000000107e+00,-1.144887918057490572e-01,2.713491219187588177e-01
3.379999999999999893e+00,-1.117775022870569068e-01,2.709004879286129874e-01
3.390000000000000124e+00,-1.090709468137091853e-01,2.704024087853539871e-01
3.399999999999999911e+00,-1.063696168844458501e-01,2.698554756015136835e-01
3.410000000000000142e+00,-1.036739980686821744e-01,2.692602833223925463e-01
3.419999999999999929e+00,-1.009845699693581872e-01,2.686174305668216356e-01
3.430000000000000160e+00,-9.830180618747072496e-02,2.679275194680396099e-01
3.439999999999999947e+00,-9.562617428826436505e-02,2.671911555149574791e-01
3.450000000000000178e+00,-9.295813576907754894e-02,2.664089473938107133e-01
3.459999999999999964e+00,-9.029814602879845942e-02,2.655815068304772653e-01
3.470000000000000195e+00,-8.764665430357962417e-02,2.647094486342490005e-01
3.479999999999999982e+00,-8.500410365878882657e-02,2.637933904319696432e-01
3.490000000000000213e+00,-8.237093099494555148e-02,2.628339523325165517e-01
3.500000000000000000e+00,-7.974756700086602090e-02,2.618317569009708246e-01
3.510000000000000231e+00,-7.713443613054761505e-02,2.607874290077276114e-01
3.520000000000000018e+00,-7.453195658166759940e-02,2.597015956782461887e-01
3.530000000000000249e+00,-7.194054027569282694e-02,2.585748859434384705e-01
3.540000000000000036e+00,-6.936059283960385735e-02,2.574079306906980058e-01
3.550000000000000266e+00,-6.679251358856683196e-02,2.562013625176749465e-01
3.560000000000000053e+00,-6.423669545085235189e-02,2.549558157753930021e-01
3.570000000000000284e+00,-6.169352500258763056e-02,2.536719262680157128e-01
3.580000000000000071e+00,-5.916338248595047478e-02,2.523503310110148390e-01
3.589999999999999858e+00,-5.664664176945204133e-02,2.509916681791713455e-01
3.600000000000000089e+00,-5.414367033797010120e-02,2.495965769657826072e-01
3.609999999999999876e+00,-5.165482928432810206e-02,2.481656974427213225e-01
3.620000000000000107e+00,-4.918047330241899495e-02,2.466996704213451075e-01
3.629999999999999893e+00,-4.672095068187668426e-02,2.451991373142589081e-01
